rowid,country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017,estimated_generation_note_2013,estimated_generation_note_2014,estimated_generation_note_2015,estimated_generation_note_2016,estimated_generation_note_2017
18363,PHL,Philippines,KALAYAAN PSPP,WRI1001896,739.2,14.3168,121.4739,Hydro,,,,,,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,GEODB,1023516,,,,,,,,,,1262.2,1859.73,1606.01,1749.99,1733.34,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
18364,PHL,Philippines,Kibawe Solar,WRI1023913,10.5,7.5546,124.9616,Solar,,,,2016.0,AsiaGreen Energy Corporation,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,WRI,,,,,,,,,,,,,,,17.43,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,SOLAR-V1
18365,PHL,Philippines,Kirahon,WKS0061764,12.6,8.556,124.787,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,23.61,24.36,27.88,28.03,21.93,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
18366,PHL,Philippines,LEYTE GPP,WRI1001942,112.5,11.1308,124.6553,Geothermal,,,,,,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,GEODB,,,,,,,,,,,,,,,594.52,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
18367,PHL,Philippines,LIMAY CCGT,WRI1001884,620.0,14.5434,120.5987,Oil,,,,,,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,GEODB,,,,,,,,,,,,,,,477.66,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
18368,PHL,Philippines,La Carlota 2B,WKS0065288,14.0,10.424,122.928,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,25.79,25.0,28.7,27.46,24.24,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
18369,PHL,Philippines,Labne,WKS0070647,50.0,15.135,121.01,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,89.73,101.14,113.03,94.08,91.04,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
18370,PHL,Philippines,Leyte I,WKS0061762,30.4,11.085,124.629,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,54.92,51.2,68.35,64.39,50.29,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
18371,PHL,Philippines,Limay power station,WRI1075846,300.0,14.5204,120.6027,Coal,,,,2018.0,SMC Consolidated Power Corp,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,1890.45,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
18372,PHL,Philippines,MAGAT,WRI1001897,360.0,16.8293,121.4537,Hydro,,,,,,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,GEODB,1023522,,,,,,,,,,868.31,1059.83,900.21,947.6,1066.4,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
