id,seasonYear,season,genres,title.english,title.native,title.romaji
12685,2012,summer,"['Comedy', 'Fantasy', 'Parody']",Code Geass: Nunnally in Wonderland,コードギアス 反逆のルルーシュ ナナリーinワンダーランド,[]
31118,2015,summer,"['Harem', 'Hentai', 'Mythology', 'School', 'Supernatural']",,デーモンバスターズ ~えっちなえっちなデーモン退治~ THE ANIMATION,[]
38798,2019,spring,['Hentai'],,妻が綺麗になったワケ,[]
3736,2001,spring,"['Comedy', 'Fantasy']",,パラッパラッパー,['PaRappa the Rapper']
39068,2019,spring,['Hentai'],,あの団地の妻たちは... The Animation,[]
44192,2021,winter,['Hentai'],,君が好き. THE ANIMATION,[]
1186,1997,fall,"['Action', 'Adventure', 'Comedy', 'Drama', 'School', 'Sci-Fi', 'Shounen', 'Sports']",Battle Athletes Victory,バトルアスリーテス大運動会,[]
6050,2009,summer,"['Action', 'Adventure', 'Ecchi', 'Shounen', 'Supernatural']",,魔法先生ネギま! ~もうひとつの世界~,['Mahou Sensei Negima! OVA Mahou Sekai']
937,1988,spring,"['Action', 'Adventure', 'Detective', 'Mecha', 'Sci-Fi']",,アップル・シード,[]
3759,2008,winter,"['Comedy', 'Romance', 'School']",,School Days 「Valentine Days」,"['School Days LxH', 'School Days: Valentine Days']"
30137,2015,fall,"['Action', 'Shounen', 'Super Power']",,ビッグオーダー,[]
1219,2006,summer,"['Comedy', 'Drama', 'Ecchi', 'Romance']",,ちょこッとSister,['Chokotto Sister']
5316,2008,fall,['Hentai'],,レイプ！レイプ！レイプ！,[]
203,1999,summer,"['Adventure', 'Fantasy', 'Hentai', 'Mythology']",,ワーズ・ワース,['Wordsworth']
50379,2022,summer,"['Shounen', 'Sports', 'Team Sports']",,シュート! Goal to the Future,[]
36816,2018,spring,"['Action', 'Adventure', 'Sci-Fi']",Godzilla: City on the Edge of Battle,GODZILLA 決戦機動増殖都市,[]
51678,0,,"['Comedy', 'Magical Sex Shift', 'Slice of Life']",,お兄ちゃんはおしまい！,"[""Onimai: I'm Now Your Sister!"", 'Onii-chan is Done For']"
21729,2014,spring,"['Action', 'Adventure', 'Mythology', 'Shounen', 'Strategy Game']",Cardfight!! Vanguard Legion Mate,カードファイト!! ヴァンガード レギオンメイト編,[]
32484,2016,winter,['Hentai'],,Aサイズ クラスメイト,[]
50663,2022,fall,"['Comedy', 'Gag Humor', 'Parody']",Pop Team Epic 2nd Season,ポプテピピック,[]
2036,2001,spring,"['Adventure', 'Comedy', 'Drama', 'Sci-Fi']",,Cosmic Baton Girl コメットさん☆,['Princess Comet']
17397,2013,winter,"['Comedy', 'Ecchi', 'School', 'Slice of Life']",,サイクロプス少女さいぷ～,"['Cyclops Shoujo Saipu', 'Cyclops Girl Cypu']"
17917,2013,spring,"['Action', 'Kids', 'Mecha']",,ダンボール戦機ウォーズ,['Danbooru Senki Wars']
41221,2021,spring,"['Comedy', 'Historical', 'Romance']",No Doubt In Us,两不疑,[]
10249,2011,winter,"['Comedy', 'Parody']",A Certain Magical Index II: Specials,とある魔術のいんでっくすたん,"['Toaru Majutsu no Index-tan II Specials', 'A Certain Magical Index-tan II']"
1550,1970,winter,"['Drama', 'Shoujo', 'Sports', 'Team Sports']",,アタックNo.1,"['Mila Superstar', 'Attack Number One']"
12057,2012,summer,['Hentai'],,My妹～小悪魔なAカップ～,['My Sister: Little-Devil with an A-Cup']
50209,2021,fall,"['CGDCT', 'Sports']",Sky Blue Utility,空色ユーティリティ,[]
4130,2007,winter,"['Comedy', 'School']",,ぷちえう゛ぁ,"['Puchi Eva', 'Eva-School', 'EAS', 'EOS', 'Neon Genesis Evangelion @ School']"
291,2005,summer,"['Comedy', 'Drama', 'Harem', 'Romance', 'Supernatural']",D.C.S.S. ~Da Capo Second Season~,D.C.S.S. ～ダ・カーポ セカンドシーズン～,"['D.C.S.G.', 'Da Capo 2nd Season', 'Da Capo Second Graduation', 'Da Capo Second Story', 'dc2']"
32547,2016,summer,"['CGDCT', 'Iyashikei', 'School', 'Seinen', 'Slice of Life']",,のんのんびより りぴーと 蛍が楽しんだ,['Non Non Biyori Repeat OVA']
